TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-41.1,9.64E+05,8.92E-04,3.98E-02,110.69,435.08,0.65626,2.0542,2.0063,1.0232,1.97E-04,1.18E-05,0.16069,0.012427,0.013382
-41,9.68E+05,8.93E-04,3.97E-02,110.89,435.11,0.65712,2.0537,2.0068,1.0241,1.97E-04,1.18E-05,0.16056,0.012437,0.013358
-40.9,9.72E+05,8.93E-04,3.96E-02,111.09,435.13,0.65797,2.0532,2.0073,1.0251,1.97E-04,1.18E-05,0.16043,0.012448,0.013334
-40.8,9.75E+05,8.93E-04,3.94E-02,111.29,435.15,0.65882,2.0527,2.0077,1.026,1.96E-04,1.18E-05,0.16031,0.012458,0.013311
-40.7,9.79E+05,8.94E-04,3.93E-02,111.49,435.17,0.65968,2.0521,2.0082,1.0269,1.96E-04,1.18E-05,0.16018,0.012468,0.013287
-40.6,9.82E+05,8.94E-04,3.91E-02,111.69,435.19,0.66053,2.0516,2.0087,1.0278,1.96E-04,1.18E-05,0.16006,0.012478,0.013263
-40.5,9.86E+05,8.94E-04,3.90E-02,111.89,435.22,0.66138,2.0511,2.0092,1.0287,1.95E-04,1.18E-05,0.15993,0.012489,0.013239
-40.4,9.90E+05,8.94E-04,3.88E-02,112.1,435.24,0.66223,2.0506,2.0097,1.0296,1.95E-04,1.18E-05,0.1598,0.012499,0.013216
-40.3,9.93E+05,8.95E-04,3.87E-02,112.3,435.26,0.66308,2.0501,2.0102,1.0305,1.95E-04,1.19E-05,0.15968,0.012509,0.013192
-40.2,9.97E+05,8.95E-04,3.86E-02,112.5,435.28,0.66393,2.0496,2.0107,1.0314,1.94E-04,1.19E-05,0.15955,0.01252,0.013168
-40.1,1.00E+06,8.95E-04,3.84E-02,112.7,435.3,0.66479,2.049,2.0112,1.0324,1.94E-04,1.19E-05,0.15943,0.01253,0.013145
-40,1.00E+06,8.96E-04,3.83E-02,112.9,435.32,0.66564,2.0485,2.0117,1.0333,1.94E-04,1.19E-05,0.1593,0.01254,0.013121
-39.9,1.01E+06,8.96E-04,3.81E-02,113.1,435.34,0.66649,2.048,2.0122,1.0342,1.93E-04,1.19E-05,0.15917,0.012551,0.013097
-39.8,1.01E+06,8.96E-04,3.80E-02,113.31,435.36,0.66734,2.0475,2.0127,1.0351,1.93E-04,1.19E-05,0.15905,0.012561,0.013074
-39.7,1.02E+06,8.97E-04,3.79E-02,113.51,435.38,0.66819,2.047,2.0132,1.0361,1.93E-04,1.19E-05,0.15892,0.012572,0.01305
-39.6,1.02E+06,8.97E-04,3.77E-02,113.71,435.41,0.66904,2.0465,2.0137,1.037,1.92E-04,1.19E-05,0.1588,0.012582,0.013026
-39.5,1.02E+06,8.97E-04,3.76E-02,113.91,435.43,0.66989,2.0459,2.0142,1.0379,1.92E-04,1.19E-05,0.15867,0.012593,0.013003
-39.4,1.03E+06,8.98E-04,3.75E-02,114.11,435.45,0.67074,2.0454,2.0147,1.0389,1.92E-04,1.19E-05,0.15854,0.012603,0.012979
-39.3,1.03E+06,8.98E-04,3.73E-02,114.32,435.47,0.67159,2.0449,2.0152,1.0398,1.92E-04,1.19E-05,0.15842,0.012614,0.012956
-39.2,1.03E+06,8.98E-04,3.72E-02,114.52,435.49,0.67244,2.0444,2.0157,1.0408,1.91E-04,1.19E-05,0.15829,0.012624,0.012932
-39.1,1.04E+06,8.99E-04,3.71E-02,114.72,435.51,0.67329,2.0439,2.0162,1.0417,1.91E-04,1.19E-05,0.15817,0.012635,0.012908
-39,1.04E+06,8.99E-04,3.69E-02,114.92,435.53,0.67413,2.0434,2.0167,1.0427,1.91E-04,1.19E-05,0.15804,0.012645,0.012885
-38.9,1.05E+06,8.99E-04,3.68E-02,115.12,435.55,0.67498,2.0429,2.0173,1.0436,1.90E-04,1.19E-05,0.15792,0.012656,0.012861
-38.8,1.05E+06,9.00E-04,3.67E-02,115.33,435.57,0.67583,2.0423,2.0178,1.0446,1.90E-04,1.19E-05,0.15779,0.012667,0.012838
-38.7,1.05E+06,9.00E-04,3.65E-02,115.53,435.59,0.67668,2.0418,2.0183,1.0455,1.90E-04,1.19E-05,0.15767,0.012677,0.012814
-38.6,1.06E+06,9.00E-04,3.64E-02,115.73,435.61,0.67753,2.0413,2.0188,1.0465,1.89E-04,1.20E-05,0.15754,0.012688,0.012791
-38.5,1.06E+06,9.00E-04,3.63E-02,115.93,435.63,0.67838,2.0408,2.0194,1.0475,1.89E-04,1.20E-05,0.15741,0.012698,0.012767
-38.4,1.07E+06,9.01E-04,3.61E-02,116.14,435.65,0.67922,2.0403,2.0199,1.0484,1.89E-04,1.20E-05,0.15729,0.012709,0.012744
-38.3,1.07E+06,9.01E-04,3.60E-02,116.34,435.66,0.68007,2.0398,2.0204,1.0494,1.88E-04,1.20E-05,0.15716,0.01272,0.01272
-38.2,1.07E+06,9.01E-04,3.59E-02,116.54,435.68,0.68092,2.0393,2.021,1.0504,1.88E-04,1.20E-05,0.15704,0.01273,0.012697
-38.1,1.08E+06,9.02E-04,3.58E-02,116.74,435.7,0.68177,2.0387,2.0215,1.0514,1.88E-04,1.20E-05,0.15691,0.012741,0.012673
-38,1.08E+06,9.02E-04,3.56E-02,116.95,435.72,0.68261,2.0382,2.022,1.0523,1.87E-04,1.20E-05,0.15679,0.012752,0.01265
-37.9,1.08E+06,9.02E-04,3.55E-02,117.15,435.74,0.68346,2.0377,2.0226,1.0533,1.87E-04,1.20E-05,0.15666,0.012763,0.012626
-37.8,1.09E+06,9.03E-04,3.54E-02,117.35,435.76,0.68431,2.0372,2.0231,1.0543,1.87E-04,1.20E-05,0.15654,0.012774,0.012603
-37.7,1.09E+06,9.03E-04,3.52E-02,117.55,435.78,0.68515,2.0367,2.0237,1.0553,1.86E-04,1.20E-05,0.15641,0.012784,0.012579
-37.6,1.10E+06,9.03E-04,3.51E-02,117.76,435.8,0.686,2.0362,2.0242,1.0563,1.86E-04,1.20E-05,0.15629,0.012795,0.012556
-37.5,1.10E+06,9.04E-04,3.50E-02,117.96,435.81,0.68684,2.0357,2.0248,1.0573,1.86E-04,1.20E-05,0.15616,0.012806,0.012532
-37.4,1.10E+06,9.04E-04,3.49E-02,118.16,435.83,0.68769,2.0352,2.0253,1.0583,1.86E-04,1.20E-05,0.15604,0.012817,0.012509
-37.3,1.11E+06,9.04E-04,3.47E-02,118.37,435.85,0.68854,2.0347,2.0259,1.0593,1.85E-04,1.20E-05,0.15591,0.012828,0.012486
-37.2,1.11E+06,9.05E-04,3.46E-02,118.57,435.87,0.68938,2.0342,2.0264,1.0603,1.85E-04,1.20E-05,0.15579,0.012839,0.012462
-37.1,1.12E+06,9.05E-04,3.45E-02,118.77,435.89,0.69023,2.0336,2.027,1.0613,1.85E-04,1.20E-05,0.15566,0.01285,0.012439
-37,1.12E+06,9.05E-04,3.44E-02,118.98,435.9,0.69107,2.0331,2.0275,1.0623,1.84E-04,1.20E-05,0.15554,0.012861,0.012415
-36.9,1.12E+06,9.06E-04,3.43E-02,119.18,435.92,0.69192,2.0326,2.0281,1.0633,1.84E-04,1.20E-05,0.15541,0.012871,0.012392
-36.8,1.13E+06,9.06E-04,3.41E-02,119.38,435.94,0.69276,2.0321,2.0287,1.0643,1.84E-04,1.21E-05,0.15529,0.012882,0.012369
-36.7,1.13E+06,9.06E-04,3.40E-02,119.59,435.96,0.69361,2.0316,2.0292,1.0653,1.83E-04,1.21E-05,0.15516,0.012893,0.012345
-36.6,1.14E+06,9.07E-04,3.39E-02,119.79,435.97,0.69445,2.0311,2.0298,1.0663,1.83E-04,1.21E-05,0.15504,0.012904,0.012322
-36.5,1.14E+06,9.07E-04,3.38E-02,119.99,435.99,0.69529,2.0306,2.0304,1.0673,1.83E-04,1.21E-05,0.15491,0.012915,0.012299
-36.4,1.14E+06,9.07E-04,3.37E-02,120.2,436.01,0.69614,2.0301,2.031,1.0684,1.83E-04,1.21E-05,0.15479,0.012927,0.012275
-36.3,1.15E+06,9.08E-04,3.35E-02,120.4,436.02,0.69698,2.0296,2.0315,1.0694,1.82E-04,1.21E-05,0.15466,0.012938,0.012252
-36.2,1.15E+06,9.08E-04,3.34E-02,120.6,436.04,0.69783,2.0291,2.0321,1.0704,1.82E-04,1.21E-05,0.15454,0.012949,0.012229
-36.1,1.16E+06,9.08E-04,3.33E-02,120.81,436.06,0.69867,2.0286,2.0327,1.0714,1.82E-04,1.21E-05,0.15441,0.01296,0.012205
-36,1.16E+06,9.09E-04,3.32E-02,121.01,436.07,0.69951,2.0281,2.0333,1.0725,1.81E-04,1.21E-05,0.15429,0.012971,0.012182
-35.9,1.16E+06,9.09E-04,3.31E-02,121.21,436.09,0.70036,2.0275,2.0339,1.0735,1.81E-04,1.21E-05,0.15416,0.012982,0.012159
-35.8,1.17E+06,9.09E-04,3.29E-02,121.42,436.11,0.7012,2.027,2.0345,1.0746,1.81E-04,1.21E-05,0.15404,0.012993,0.012136
-35.7,1.17E+06,9.10E-04,3.28E-02,121.62,436.12,0.70204,2.0265,2.0351,1.0756,1.80E-04,1.21E-05,0.15391,0.013005,0.012112
-35.6,1.18E+06,9.10E-04,3.27E-02,121.82,436.14,0.70288,2.026,2.0356,1.0766,1.80E-04,1.21E-05,0.15379,0.013016,0.012089
-35.5,1.18E+06,9.10E-04,3.26E-02,122.03,436.15,0.70373,2.0255,2.0362,1.0777,1.80E-04,1.21E-05,0.15367,0.013027,0.012066
-35.4,1.19E+06,9.11E-04,3.25E-02,122.23,436.17,0.70457,2.025,2.0368,1.0788,1.80E-04,1.21E-05,0.15354,0.013038,0.012043
-35.3,1.19E+06,9.11E-04,3.24E-02,122.44,436.18,0.70541,2.0245,2.0374,1.0798,1.79E-04,1.21E-05,0.15342,0.01305,0.012019
-35.2,1.19E+06,9.11E-04,3.23E-02,122.64,436.2,0.70625,2.024,2.038,1.0809,1.79E-04,1.21E-05,0.15329,0.013061,0.011996
