TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-3,2.62E+05,0.0007665,0.077055,195.98,396.84,0.98529,1.7288,1.333,0.88386,0.00028172,0.000010609,0.093344,0.011254,0.011994
-1,2.82E+05,0.00077037,0.071782,198.66,398.02,0.99511,1.7276,1.3383,0.89272,0.00027457,0.00001069,0.092454,0.011427,0.011704
1,3.04E+05,0.00077431,0.066937,201.34,399.19,1.0049,1.7265,1.3438,0.90179,0.00026764,0.000010772,0.091567,0.011601,0.011416
3,3.26E+05,0.00077833,0.06248,204.04,400.34,1.0146,1.7255,1.3494,0.91108,0.00026091,0.000010855,0.090683,0.011777,0.011129
5,3.50E+05,0.00078243,0.058374,206.75,401.49,1.0243,1.7245,1.3552,0.92059,0.00025438,0.000010937,0.089803,0.011953,0.010844
7,3.75E+05,0.00078661,0.054587,209.47,402.63,1.034,1.7235,1.3611,0.93035,0.00024803,0.000011021,0.088925,0.012132,0.01056
9,4.01E+05,0.00079088,0.05109,212.21,403.76,1.0437,1.7226,1.3672,0.94036,0.00024185,0.000011105,0.08805,0.012311,0.010278
11,4.29E+05,0.00079524,0.047857,214.95,404.88,1.0533,1.7217,1.3736,0.95063,0.00023584,0.000011189,0.087177,0.012493,0.0099975
13,4.58E+05,0.00079969,0.044864,217.71,405.98,1.0629,1.7208,1.3801,0.96119,0.00023,0.000011274,0.086307,0.012676,0.0097186
15,4.88E+05,0.00080425,0.04209,220.48,407.07,1.0724,1.72,1.3869,0.97206,0.0002243,0.00001136,0.08544,0.012861,0.0094413
17,5.21E+05,0.00080891,0.039517,223.26,408.15,1.082,1.7192,1.3939,0.98324,0.00021875,0.000011447,0.084574,0.013048,0.0091657
19,5.54E+05,0.00081368,0.037128,226.06,409.22,1.0915,1.7184,1.4011,0.99476,0.00021334,0.000011535,0.08371,0.013238,0.0088918
21,5.90E+05,0.00081856,0.034906,228.88,410.27,1.101,1.7177,1.4087,1.0067,0.00020806,0.000011624,0.082848,0.01343,0.0086196
23,6.27E+05,0.00082357,0.032838,231.7,411.31,1.1105,1.7169,1.4165,1.0189,0.00020291,0.000011715,0.081988,0.013625,0.0083492
25,6.65E+05,0.0008287,0.030912,234.55,412.33,1.1199,1.7162,1.4246,1.0316,0.00019788,0.000011806,0.081129,0.013823,0.0080805
27,7.06E+05,0.00083396,0.029115,237.4,413.34,1.1294,1.7155,1.4331,1.0448,0.00019296,0.000011899,0.080271,0.014024,0.0078137
29,7.48E+05,0.00083937,0.027438,240.28,414.33,1.1388,1.7148,1.4419,1.0585,0.00018815,0.000011993,0.079414,0.014229,0.0075488
31,7.93E+05,0.00084493,0.025871,243.17,415.3,1.1482,1.7142,1.4511,1.0726,0.00018344,0.000012089,0.078558,0.014438,0.0072858
33,8.39E+05,0.00085065,0.024405,246.08,416.26,1.1576,1.7135,1.4608,1.0874,0.00017884,0.000012187,0.077702,0.014652,0.0070247
35,8.87E+05,0.00085653,0.023033,249.01,417.19,1.167,1.7128,1.4709,1.1028,0.00017433,0.000012286,0.076847,0.01487,0.0067656
37,9.37E+05,0.00086259,0.021747,251.95,418.1,1.1764,1.7121,1.4815,1.1189,0.00016991,0.000012388,0.075992,0.015094,0.0065085
39,9.90E+05,0.00086884,0.020541,254.92,418.99,1.1858,1.7114,1.4926,1.1358,0.00016557,0.000012492,0.075137,0.015323,0.0062535
41,1.04E+06,0.00087529,0.019409,257.91,419.86,1.1952,1.7107,1.5044,1.1535,0.00016132,0.000012599,0.074281,0.015559,0.0060007
43,1.10E+06,0.00088195,0.018345,260.91,420.7,1.2046,1.71,1.5167,1.1721,0.00015714,0.000012708,0.073425,0.015803,0.00575
45,1.16E+06,0.00088885,0.017344,263.94,421.52,1.2139,1.7092,1.5298,1.1917,0.00015304,0.000012821,0.072568,0.016054,0.0055016
47,1.22E+06,0.00089598,0.016402,267,422.31,1.2233,1.7085,1.5437,1.2125,0.000149,0.000012936,0.07171,0.016314,0.0052554
49,1.29E+06,0.00090338,0.015514,270.07,423.07,1.2327,1.7077,1.5584,1.2345,0.00014504,0.000013055,0.07085,0.016584,0.0050116
51,1.35E+06,0.00091107,0.014677,273.18,423.8,1.2422,1.7068,1.5741,1.258,0.00014113,0.000013179,0.069989,0.016865,0.0047702
